"person_id","item","score"
"P001","q01",1
"P001","q02",1
"P001","q03",1
"P001","q04",1
"P001","q05",1
"P001","q06",1
"P001","q07",1
"P001","q08",1
"P001","q09",1
"P001","q10",1
"P001","q11",1
"P001","q12",1
"P002","q01",0
"P002","q02",0
"P002","q03",0
"P002","q04",0
"P002","q05",0
"P002","q06",0
"P002","q07",0
"P002","q08",0
"P002","q09",0
"P002","q10",0
"P002","q11",0
"P002","q12",0
"P003","q01",1
"P003","q02",1
"P003","q03",1
"P003","q04",1
"P003","q05",1
"P003","q06",1
"P003","q07",1
"P003","q08",0
"P003","q09",1
"P003","q10",1
"P003","q11",0
"P003","q12",0
"P004","q01",1
"P004","q02",1
"P004","q03",1
"P004","q04",1
"P004","q05",1
"P004","q06",1
"P004","q07",0
"P004","q08",0
"P004","q09",0
"P004","q10",0
"P004","q11",0
"P004","q12",0
"P005","q01",1
"P005","q02",1
"P005","q03",1
"P005","q04",1
"P005","q05",1
"P005","q06",1
"P005","q07",0
"P005","q08",0
"P005","q09",1
"P005","q10",0
"P005","q11",0
"P005","q12",1
"P006","q01",0
"P006","q02",0
"P006","q03",1
"P006","q04",1
"P006","q05",0
"P006","q06",0
"P006","q07",0
"P006","q08",0
"P006","q09",0
"P006","q10",0
"P006","q11",0
"P006","q12",0
"P007","q01",1
"P007","q02",0
"P007","q03",1
"P007","q04",0
"P007","q05",1
"P007","q06",0
"P007","q07",0
"P007","q08",1
"P007","q09",0
"P007","q10",0
"P007","q11",0
"P007","q12",0
"P008","q01",1
"P008","q02",1
"P008","q03",0
"P008","q04",0
"P008","q05",1
"P008","q06",0
"P008","q07",0
"P008","q08",1
"P008","q09",0
"P008","q10",0
"P008","q11",0
"P008","q12",0
"P009","q01",1
"P009","q02",1
"P009","q03",1
"P009","q04",1
"P009","q05",1
"P009","q06",0
"P009","q07",0
"P009","q08",1
"P009","q09",1
"P009","q10",0
"P009","q11",1
"P009","q12",0
"P010","q01",1
"P010","q02",0
"P010","q03",0
"P010","q04",1
"P010","q05",1
"P010","q06",0
"P010","q07",0
"P010","q08",1
"P010","q09",0
"P010","q10",0
"P010","q11",0
"P010","q12",0
"P011","q01",0
"P011","q02",1
"P011","q03",1
"P011","q04",1
"P011","q05",1
"P011","q06",0
"P011","q07",0
"P011","q08",1
"P011","q09",0
"P011","q10",0
"P011","q11",0
"P011","q12",0
"P012","q01",1
"P012","q02",1
"P012","q03",0
"P012","q04",0
"P012","q05",1
"P012","q06",1
"P012","q07",0
"P012","q08",0
"P012","q09",1
"P012","q10",0
"P012","q11",1
"P012","q12",0
"P013","q01",1
"P013","q02",1
"P013","q03",0
"P013","q04",1
"P013","q05",1
"P013","q06",0
"P013","q07",1
"P013","q08",0
"P013","q09",1
"P013","q10",0
"P013","q11",0
"P013","q12",0
"P014","q01",1
"P014","q02",1
"P014","q03",1
"P014","q04",1
"P014","q05",1
"P014","q06",0
"P014","q07",1
"P014","q08",0
"P014","q09",0
"P014","q10",0
"P014","q11",0
"P014","q12",0
"P015","q01",0
"P015","q02",1
"P015","q03",1
"P015","q04",0
"P015","q05",0
"P015","q06",0
"P015","q07",0
"P015","q08",0
"P015","q09",0
"P015","q10",0
"P015","q11",0
"P015","q12",0
"P016","q01",1
"P016","q02",1
"P016","q03",1
"P016","q04",1
"P016","q05",1
"P016","q06",1
"P016","q07",1
"P016","q08",1
"P016","q09",0
"P016","q10",0
"P016","q11",1
"P016","q12",0
"P017","q01",1
"P017","q02",1
"P017","q03",1
"P017","q04",1
"P017","q05",1
"P017","q06",1
"P017","q07",1
"P017","q08",1
"P017","q09",0
"P017","q10",0
"P017","q11",0
"P017","q12",1
"P018","q01",1
"P018","q02",1
"P018","q03",1
"P018","q04",1
"P018","q05",0
"P018","q06",0
"P018","q07",0
"P018","q08",0
"P018","q09",0
"P018","q10",0
"P018","q11",0
"P018","q12",1
"P019","q01",0
"P019","q02",0
"P019","q03",1
"P019","q04",0
"P019","q05",1
"P019","q06",0
"P019","q07",1
"P019","q08",0
"P019","q09",0
"P019","q10",0
"P019","q11",0
"P019","q12",0
"P020","q01",1
"P020","q02",1
"P020","q03",1
"P020","q04",1
"P020","q05",1
"P020","q06",1
"P020","q07",0
"P020","q08",0
"P020","q09",0
"P020","q10",0
"P020","q11",0
"P020","q12",1
"P021","q01",1
"P021","q02",1
"P021","q03",1
"P021","q04",1
"P021","q05",0
"P021","q06",0
"P021","q07",0
"P021","q08",1
"P021","q09",1
"P021","q10",0
"P021","q11",1
"P021","q12",0
"P022","q01",1
"P022","q02",1
"P022","q03",1
"P022","q04",1
"P022","q05",1
"P022","q06",1
"P022","q07",0
"P022","q08",0
"P022","q09",0
"P022","q10",0
"P022","q11",0
"P022","q12",0
"P023","q01",0
"P023","q02",1
"P023","q03",0
"P023","q04",1
"P023","q05",0
"P023","q06",0
"P023","q07",0
"P023","q08",0
"P023","q09",0
"P023","q10",0
"P023","q11",0
"P023","q12",0
"P024","q01",1
"P024","q02",1
"P024","q03",1
"P024","q04",1
"P024","q05",1
"P024","q06",1
"P024","q07",1
"P024","q08",0
"P024","q09",1
"P024","q10",0
"P024","q11",0
"P024","q12",0
"P025","q01",1
"P025","q02",0
"P025","q03",1
"P025","q04",1
"P025","q05",0
"P025","q06",1
"P025","q07",0
"P025","q08",1
"P025","q09",0
"P025","q10",1
"P025","q11",1
"P025","q12",1
"P026","q01",1
"P026","q02",1
"P026","q03",0
"P026","q04",1
"P026","q05",1
"P026","q06",1
"P026","q07",1
"P026","q08",1
"P026","q09",1
"P026","q10",0
"P026","q11",1
"P026","q12",0
"P027","q01",1
"P027","q02",1
"P027","q03",1
"P027","q04",1
"P027","q05",1
"P027","q06",0
"P027","q07",1
"P027","q08",0
"P027","q09",1
"P027","q10",1
"P027","q11",0
"P027","q12",0
"P028","q01",1
"P028","q02",0
"P028","q03",1
"P028","q04",1
"P028","q05",0
"P028","q06",0
"P028","q07",1
"P028","q08",0
"P028","q09",0
"P028","q10",0
"P028","q11",0
"P028","q12",0
"P029","q01",1
"P029","q02",1
"P029","q03",1
"P029","q04",0
"P029","q05",1
"P029","q06",1
"P029","q07",0
"P029","q08",1
"P029","q09",0
"P029","q10",0
"P029","q11",1
"P029","q12",0
"P030","q01",1
"P030","q02",1
"P030","q03",1
"P030","q04",1
"P030","q05",1
"P030","q06",0
"P030","q07",0
"P030","q08",0
"P030","q09",0
"P030","q10",1
"P030","q11",1
"P030","q12",0
"P031","q01",1
"P031","q02",1
"P031","q03",1
"P031","q04",1
"P031","q05",1
"P031","q06",0
"P031","q07",0
"P031","q08",0
"P031","q09",0
"P031","q10",0
"P031","q11",0
"P031","q12",0
"P032","q01",1
"P032","q02",1
"P032","q03",1
"P032","q04",1
"P032","q05",0
"P032","q06",0
"P032","q07",0
"P032","q08",1
"P032","q09",0
"P032","q10",0
"P032","q11",0
"P032","q12",0
"P033","q01",1
"P033","q02",1
"P033","q03",0
"P033","q04",1
"P033","q05",1
"P033","q06",1
"P033","q07",1
"P033","q08",0
"P033","q09",0
"P033","q10",0
"P033","q11",0
"P033","q12",0
"P034","q01",NA
"P034","q02",1
"P034","q03",1
"P034","q04",1
"P034","q05",1
"P034","q06",1
"P034","q07",1
"P034","q08",0
"P034","q09",0
"P034","q10",1
"P034","q11",0
"P034","q12",1
"P035","q01",1
"P035","q02",1
"P035","q03",0
"P035","q04",1
"P035","q05",1
"P035","q06",0
"P035","q07",1
"P035","q08",0
"P035","q09",0
"P035","q10",1
"P035","q11",0
"P035","q12",0
"P036","q01",1
"P036","q02",1
"P036","q03",1
"P036","q04",1
"P036","q05",1
"P036","q06",1
"P036","q07",1
"P036","q08",1
"P036","q09",1
"P036","q10",1
"P036","q11",0
"P036","q12",0
"P037","q01",1
"P037","q02",1
"P037","q03",1
"P037","q04",1
"P037","q05",1
"P037","q06",1
"P037","q07",1
"P037","q08",1
"P037","q09",NA
"P037","q10",0
"P037","q11",0
"P037","q12",0
"P038","q01",1
"P038","q02",1
"P038","q03",0
"P038","q04",1
"P038","q05",1
"P038","q06",0
"P038","q07",1
"P038","q08",0
"P038","q09",0
"P038","q10",0
"P038","q11",0
"P038","q12",0
"P039","q01",0
"P039","q02",1
"P039","q03",1
"P039","q04",1
"P039","q05",1
"P039","q06",0
"P039","q07",1
"P039","q08",0
"P039","q09",0
"P039","q10",0
"P039","q11",0
"P039","q12",0
"P040","q01",1
"P040","q02",1
"P040","q03",1
"P040","q04",1
"P040","q05",0
"P040","q06",1
"P040","q07",1
"P040","q08",0
"P040","q09",0
"P040","q10",0
"P040","q11",0
"P040","q12",0
"P041","q01",1
"P041","q02",0
"P041","q03",0
"P041","q04",0
"P041","q05",1
"P041","q06",1
"P041","q07",1
"P041","q08",0
"P041","q09",0
"P041","q10",0
"P041","q11",1
"P041","q12",0
"P042","q01",1
"P042","q02",1
"P042","q03",1
"P042","q04",1
"P042","q05",0
"P042","q06",0
"P042","q07",1
"P042","q08",1
"P042","q09",0
"P042","q10",0
"P042","q11",0
"P042","q12",0
"P043","q01",1
"P043","q02",1
"P043","q03",0
"P043","q04",1
"P043","q05",0
"P043","q06",0
"P043","q07",0
"P043","q08",0
"P043","q09",0
"P043","q10",1
"P043","q11",0
"P043","q12",0
"P044","q01",1
"P044","q02",1
"P044","q03",0
"P044","q04",1
"P044","q05",1
"P044","q06",1
"P044","q07",0
"P044","q08",0
"P044","q09",0
"P044","q10",0
"P044","q11",0
"P044","q12",1
"P045","q01",1
"P045","q02",1
"P045","q03",0
"P045","q04",1
"P045","q05",0
"P045","q06",1
"P045","q07",0
"P045","q08",0
"P045","q09",0
"P045","q10",0
"P045","q11",0
"P045","q12",0
"P046","q01",1
"P046","q02",1
"P046","q03",1
"P046","q04",1
"P046","q05",1
"P046","q06",1
"P046","q07",1
"P046","q08",1
"P046","q09",1
"P046","q10",1
"P046","q11",1
"P046","q12",0
"P047","q01",1
"P047","q02",0
"P047","q03",1
"P047","q04",1
"P047","q05",1
"P047","q06",1
"P047","q07",0
"P047","q08",0
"P047","q09",0
"P047","q10",1
"P047","q11",1
"P047","q12",0
"P048","q01",NA
"P048","q02",1
"P048","q03",1
"P048","q04",1
"P048","q05",1
"P048","q06",0
"P048","q07",0
"P048","q08",1
"P048","q09",0
"P048","q10",0
"P048","q11",0
"P048","q12",0
